Test id,File Size,Block Size,Workload Pattern of test,Workload Test Time Sec,Workload Ramp-up Test Time Sec,Start Delay Sec,Thread / Numjobs,OIO / IODepth,Target devices,NUMA nodes
29,64g,4KB,100% Seq 0% Read,60,10,0,2,1,/dev/nvme0n1,
30,64g,4KB,60% Seq 0% Read,60,10,0,2,1,/dev/nvme0n1,
31,64g,4KB,30% Seq 0% Read,60,10,0,2,1,/dev/nvme0n1,
32,64g,4KB,0% Seq 0% Read,60,10,0,2,1,/dev/nvme0n1,
33,32g,4KB,100% Seq 100% Read,60,10,0,4,1,/dev/nvme0n1,
34,32g,4KB,60% Seq 100% Read,60,10,0,4,1,/dev/nvme0n1,
35,32g,4KB,30% Seq 100% Read,60,10,0,4,1,/dev/nvme0n1,
36,32g,4KB,0% Seq 100% Read,60,10,0,4,1,/dev/nvme0n1,
37,32g,4KB,100% Seq 60% Read,60,10,0,4,1,/dev/nvme0n1,
38,32g,4KB,60% Seq 60% Read,60,10,0,4,1,/dev/nvme0n1,
39,32g,4KB,30% Seq 60% Read,60,10,0,4,1,/dev/nvme0n1,
40,32g,4KB,0% Seq 60% Read,60,10,0,4,1,/dev/nvme0n1,
41,32g,4KB,100% Seq 30% Read,60,10,0,4,1,/dev/nvme0n1,
42,32g,4KB,60% Seq 30% Read,60,10,0,4,1,/dev/nvme0n1,
43,32g,4KB,30% Seq 30% Read,60,10,0,4,1,/dev/nvme0n1,
44,32g,4KB,0% Seq 30% Read,60,10,0,4,1,/dev/nvme0n1,
45,32g,4KB,100% Seq 0% Read,60,10,0,4,1,/dev/nvme0n1,
46,32g,4KB,60% Seq 0% Read,60,10,0,4,1,/dev/nvme0n1,
47,32g,4KB,30% Seq 0% Read,60,10,0,4,1,/dev/nvme0n1,
48,32g,4KB,0% Seq 0% Read,60,10,0,4,1,/dev/nvme0n1,
49,16g,4KB,100% Seq 100% Read,60,10,0,8,1,/dev/nvme0n1,
50,16g,4KB,60% Seq 100% Read,60,10,0,8,1,/dev/nvme0n1,
51,16g,4KB,30% Seq 100% Read,60,10,0,8,1,/dev/nvme0n1,
52,16g,4KB,0% Seq 100% Read,60,10,0,8,1,/dev/nvme0n1,
53,16g,4KB,100% Seq 60% Read,60,10,0,8,1,/dev/nvme0n1,
54,16g,4KB,60% Seq 60% Read,60,10,0,8,1,/dev/nvme0n1,
55,16g,4KB,30% Seq 60% Read,60,10,0,8,1,/dev/nvme0n1,
56,16g,4KB,0% Seq 60% Read,60,10,0,8,1,/dev/nvme0n1,
57,16g,4KB,100% Seq 30% Read,60,10,0,8,1,/dev/nvme0n1,
58,16g,4KB,60% Seq 30% Read,60,10,0,8,1,/dev/nvme0n1,
59,16g,4KB,30% Seq 30% Read,60,10,0,8,1,/dev/nvme0n1,
60,16g,4KB,0% Seq 30% Read,60,10,0,8,1,/dev/nvme0n1,
61,16g,4KB,100% Seq 0% Read,60,10,0,8,1,/dev/nvme0n1,
62,16g,4KB,60% Seq 0% Read,60,10,0,8,1,/dev/nvme0n1,
63,16g,4KB,30% Seq 0% Read,60,10,0,8,1,/dev/nvme0n1,
64,16g,4KB,0% Seq 0% Read,60,10,0,8,1,/dev/nvme0n1,
65,8g,4KB,100% Seq 100% Read,60,10,0,16,1,/dev/nvme0n1,
66,8g,4KB,60% Seq 100% Read,60,10,0,16,1,/dev/nvme0n1,
