Test id,File Size,Block Size,Workload Pattern of test,Workload Test Time Sec,Workload Ramp-up Test Time Sec,Start Delay Sec,Thread / Numjobs,OIO / IODepth,Target devices,NUMA nodes
63,16g,4KB,30% Seq 0% Read,60,10,0,8,1,/dev/null:/dev/null,
64,16g,4KB,0% Seq 0% Read,60,10,0,8,1,/dev/null:/dev/null,
65,8g,4KB,100% Seq 100% Read,60,10,0,16,1,/dev/null:/dev/null,
66,8g,4KB,60% Seq 100% Read,60,10,0,16,1,/dev/null:/dev/null,
67,8g,4KB,30% Seq 100% Read,60,10,0,16,1,/dev/null:/dev/null,
68,8g,4KB,0% Seq 100% Read,60,10,0,16,1,/dev/null:/dev/null,
69,8g,4KB,100% Seq 60% Read,60,10,0,16,1,/dev/null:/dev/null,
70,8g,4KB,60% Seq 60% Read,60,10,0,16,1,/dev/null:/dev/null,
71,8g,4KB,30% Seq 60% Read,60,10,0,16,1,/dev/null:/dev/null,
72,8g,4KB,0% Seq 60% Read,60,10,0,16,1,/dev/null:/dev/null,
73,8g,4KB,100% Seq 30% Read,60,10,0,16,1,/dev/null:/dev/null,
74,8g,4KB,60% Seq 30% Read,60,10,0,16,1,/dev/null:/dev/null,
75,8g,4KB,30% Seq 30% Read,60,10,0,16,1,/dev/null:/dev/null,
76,8g,4KB,0% Seq 30% Read,60,10,0,16,1,/dev/null:/dev/null,
77,8g,4KB,100% Seq 0% Read,60,10,0,16,1,/dev/null:/dev/null,
78,8g,4KB,60% Seq 0% Read,60,10,0,16,1,/dev/null:/dev/null,
79,8g,4KB,30% Seq 0% Read,60,10,0,16,1,/dev/null:/dev/null,
80,8g,4KB,0% Seq 0% Read,60,10,0,16,1,/dev/null:/dev/null,
81,4g,4KB,100% Seq 100% Read,60,10,0,32,1,/dev/null:/dev/null,
82,4g,4KB,60% Seq 100% Read,60,10,0,32,1,/dev/null:/dev/null,
83,4g,4KB,30% Seq 100% Read,60,10,0,32,1,/dev/null:/dev/null,
84,4g,4KB,0% Seq 100% Read,60,10,0,32,1,/dev/null:/dev/null,
85,4g,4KB,100% Seq 60% Read,60,10,0,32,1,/dev/null:/dev/null,
86,4g,4KB,60% Seq 60% Read,60,10,0,32,1,/dev/null:/dev/null,
87,4g,4KB,30% Seq 60% Read,60,10,0,32,1,/dev/null:/dev/null,
