Test id,File Size,Block Size,Workload Pattern of test,Workload Test Time Sec,Workload Ramp-up Test Time Sec,Start Delay Sec,Thread / Numjobs,OIO / IODepth,Target devices,NUMA nodes
1,,4KB,100% Seq 100% Read,60,10,0,1,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
2,,4KB,60% Seq 100% Read,60,10,0,1,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
3,,4KB,30% Seq 100% Read,60,10,0,1,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
4,,4KB,0% Seq 100% Read,60,10,0,1,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
5,,4KB,100% Seq 60% Read,60,10,0,1,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
6,,4KB,60% Seq 60% Read,60,10,0,1,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
7,,4KB,30% Seq 60% Read,60,10,0,1,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
8,,4KB,0% Seq 60% Read,60,10,0,1,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
9,,4KB,100% Seq 30% Read,60,10,0,1,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
10,,4KB,60% Seq 30% Read,60,10,0,1,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
11,,4KB,30% Seq 30% Read,60,10,0,1,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
12,,4KB,0% Seq 30% Read,60,10,0,1,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
13,,4KB,100% Seq 0% Read,60,10,0,1,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
14,,4KB,60% Seq 0% Read,60,10,0,1,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
15,,4KB,30% Seq 0% Read,60,10,0,1,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
16,,4KB,0% Seq 0% Read,60,10,0,1,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
17,,4KB,100% Seq 100% Read,60,10,0,2,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
18,,4KB,60% Seq 100% Read,60,10,0,2,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
19,,4KB,30% Seq 100% Read,60,10,0,2,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
20,,4KB,0% Seq 100% Read,60,10,0,2,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
21,,4KB,100% Seq 60% Read,60,10,0,2,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
22,,4KB,60% Seq 60% Read,60,10,0,2,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
23,,4KB,30% Seq 60% Read,60,10,0,2,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
24,,4KB,0% Seq 60% Read,60,10,0,2,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
25,,4KB,100% Seq 30% Read,60,10,0,2,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
26,,4KB,60% Seq 30% Read,60,10,0,2,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
27,,4KB,30% Seq 30% Read,60,10,0,2,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
28,,4KB,0% Seq 30% Read,60,10,0,2,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
29,,4KB,100% Seq 0% Read,60,10,0,2,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
30,,4KB,60% Seq 0% Read,60,10,0,2,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
31,,4KB,30% Seq 0% Read,60,10,0,2,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
32,,4KB,0% Seq 0% Read,60,10,0,2,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
33,,4KB,100% Seq 100% Read,60,10,0,4,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
34,,4KB,60% Seq 100% Read,60,10,0,4,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
35,,4KB,30% Seq 100% Read,60,10,0,4,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
36,,4KB,0% Seq 100% Read,60,10,0,4,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
37,,4KB,100% Seq 60% Read,60,10,0,4,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
38,,4KB,60% Seq 60% Read,60,10,0,4,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
39,,4KB,30% Seq 60% Read,60,10,0,4,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
40,,4KB,0% Seq 60% Read,60,10,0,4,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
41,,4KB,100% Seq 30% Read,60,10,0,4,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
42,,4KB,60% Seq 30% Read,60,10,0,4,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
43,,4KB,30% Seq 30% Read,60,10,0,4,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
44,,4KB,0% Seq 30% Read,60,10,0,4,1,/dev/nvme0n1:/dev/nvme1n1:/dev/nvme4n1:/dev/nvme5n1,
